year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1976,FY,Australia (National),AUS,price,price_farmgate_avg,Average farmgate price,9.2,cents_per_litre,high,9.2,cents_per_litre,
1976,FY,Australia (National),AUS,price,price_farmgate_manufacturing,Farmgate price - manufacturing milk,5.71,cents_per_litre,high,5.71,cents_per_litre,
1976,FY,Australia (National),AUS,price,price_farmgate_market,Farmgate price - market milk,18.721,cents_per_litre,high,18.721,cents_per_litre,
1976,FY,Australia (National),AUS,production,prod_butter,Butter production,118214.0,tonnes,high,118.214,tonnes,
1976,FY,Australia (National),AUS,production,prod_cheese,Cheese production,104000.0,tonnes,high,104.0,tonnes,
1976,FY,Australia (National),AUS,production,prod_milk_total,Total milk production,5772.0,megalitres,high,5772.0,megalitres,
1976,CY,New South Wales,NSW,herd,herd_dairy_cattle,Dairy cattle numbers,620000.0,head,high,620000.0,head,
1976,FY,New South Wales,NSW,herd,herd_dairy_cows,Dairy cow numbers,373000.0,head,high,373.0,'000,
1976,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,9138000.0,head,high,9138000.0,head,
1976,FY,New South Wales,NSW,production,prod_milk_total,Total milk production,944.0,megalitres,high,944.0,ML,
1976,CY,Northern Territory,NT,herd,herd_dairy_cattle,Dairy cattle numbers,1000.0,head,high,1000.0,head,
1976,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,1603000.0,head,high,1603000.0,head,
1976,CY,Queensland,QLD,herd,herd_dairy_cattle,Dairy cattle numbers,493000.0,head,high,493000.0,head,
1976,FY,Queensland,QLD,herd,herd_dairy_cows,Dairy cow numbers,312380.0,head,high,312.38,'000,
1976,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,11347000.0,head,high,11347000.0,head,
1976,FY,Queensland,QLD,production,prod_milk_total,Total milk production,613.0,megalitres,high,613.0,ML,
1976,CY,South Australia,SA,herd,herd_dairy_cattle,Dairy cattle numbers,204000.0,head,high,204000.0,head,
1976,FY,South Australia,SA,herd,herd_dairy_cows,Dairy cow numbers,120054.0,head,high,120.054,'000,
1976,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,1891200.0,head,high,1891200.0,head,
1976,FY,South Australia,SA,production,prod_milk_total,Total milk production,353.0,megalitres,high,353.0,ML,
1976,CY,Tasmania,TAS,herd,herd_dairy_cattle,Dairy cattle numbers,214000.0,head,high,214000.0,head,
1976,FY,Tasmania,TAS,herd,herd_dairy_cows,Dairy cow numbers,128297.0,head,high,128.297,'000,
1976,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,909000.0,head,high,909000.0,head,
